Rank,MovieTitle,Year,Rating,Votes
1,The Shawshank Redemption,1994.0,9.3,3055863
2,The Godfather,1972.0,9.2,2133373
3,The Chaos Class,1975.0,9.2,44592
4,The Godfather Part II,1974.0,9.0,1435459
5,The Lord of the Rings: The Return of the King,2003.0,9.0,2085255
6,Schindler's List,1993.0,9.0,1529291
7,The Dark Knight,2008.0,9.0,3030974
8,12 Angry Men,1957.0,9.0,931040
9,Mirror Game,2016.0,8.9,30528
10,The Lord of the Rings: The Fellowship of the Ring,2001.0,8.9,2115512
11,Tosun Pasha,1976.0,8.9,25601
12,"The Good, the Bad and the Ugly",1966.0,8.8,857837
13,The Lord of the Rings: The Two Towers,2002.0,8.8,1879660
14,Forrest Gump,1994.0,8.8,2387623
15,Pulp Fiction,1994.0,8.8,2342953
16,Inception,2010.0,8.8,2693440
17,Fight Club,1999.0,8.8,2475113
18,Interstellar,2014.0,8.7,2356342
19,777 Charlie,2022.0,8.7,43479
20,Goodfellas,1990.0,8.7,1331113
21,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,1448280
22,12th Fail,2023.0,8.7,149703
23,The Matrix,1999.0,8.7,2162139
24,The Chaos Class Failed the Class,1975.0,8.7,26908
25,One Flew Over the Cuckoo's Nest,1975.0,8.7,1120746
26,Star Wars: Episode IV - A New Hope,1977.0,8.6,1515436
27,City of God,2002.0,8.6,839886
28,The Silence of the Lambs,1991.0,8.6,1641737
29,It's a Wonderful Life,1946.0,8.6,529255
30,Life Is Beautiful,1997.0,8.6,780901
31,Spirited Away,2001.0,8.6,914471
32,The Green Mile,1999.0,8.6,1490967
33,Saving Private Ryan,1998.0,8.6,1574835
34,Se7en,1995.0,8.6,1918105
35,Jai Bhim,2021.0,8.6,226735
36,Harakiri,1962.0,8.6,80508
37,Nayakan,1987.0,8.6,26455
38,Seven Samurai,1954.0,8.6,386274
39,Soorarai Pottru,2020.0,8.6,128171
40,Terminator 2: Judgment Day,1991.0,8.6,1236504
